,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
207,0.4344,0.015600000000000003,0.46,0.21999999999999992,13.780627965927124,0.45,0.6799999999999999,100,100,16,1,200
208,0.4601,0.010099999999999998,0.41000000000000003,0.10999999999999988,12.434646129608154,0.45,0.5199999999999999,100,100,8,1,200
209,0.45740000000000003,0.007400000000000018,0.24,0.11999999999999994,7.529670715332031,0.45,0.35999999999999993,100,100,1,1,200
210,0.2665,0.14350000000000002,0.68,0.64,13.142598628997803,0.41000000000000003,0.04,100,100,8,1,200
211,0.3922,0.05780000000000002,0.52,0.4,13.456721067428589,0.45,0.12,100,100,4,1,200
212,0.1499,0.1001,0.13,0.3099999999999999,11.242588520050049,0.25,0.4399999999999999,100,100,16,1,200
213,0.1557,0.054300000000000015,0.68,0.24000000000000016,13.829245328903198,0.21000000000000002,0.4399999999999999,100,100,16,1,200
214,0.4556,0.08560000000000001,0.97,0.13000000000000012,14.525583744049072,0.37,0.8399999999999999,100,100,8,1,200
215,0.3536,0.01639999999999997,0.28,0.47999999999999987,10.723242998123169,0.37,0.7599999999999999,100,100,16,1,200
216,0.41900000000000004,0.009000000000000008,0.26,0.33999999999999997,8.954920530319214,0.41000000000000003,0.6,100,100,1,1,200
217,0.28900000000000003,0.0010000000000000009,0.42,0.09999999999999992,15.749670028686523,0.29000000000000004,0.5199999999999999,100,100,8,1,200
218,0.046,0.0040000000000000036,0.81,0.37000000000000016,12.673130750656128,0.05,0.4399999999999999,100,100,16,1,200
219,0.3672,0.002799999999999969,0.85,0.5700000000000001,10.96925973892212,0.37,0.27999999999999997,100,100,1,1,200
220,0.36610000000000004,0.043899999999999995,0.4,0.3599999999999999,12.413018941879272,0.41000000000000003,0.7599999999999999,100,100,8,1,200
221,0.3982,0.011800000000000033,0.9400000000000001,0.6600000000000001,7.504065275192261,0.41000000000000003,0.27999999999999997,100,100,1,1,200
222,0.2582,0.008199999999999985,0.53,0.25000000000000006,10.889819145202637,0.25,0.27999999999999997,100,100,4,1,200
223,0.4197,0.030299999999999994,0.38,0.10000000000000003,12.625920057296753,0.45,0.27999999999999997,100,100,4,1,200
224,0.154,0.023999999999999994,0.64,0.039999999999999925,13.86617660522461,0.13,0.6799999999999999,100,100,8,1,200
225,0.3331,0.0030999999999999917,0.39,0.11000000000000004,12.763574838638306,0.33,0.27999999999999997,100,100,4,1,200
226,0.30960000000000004,0.019600000000000006,0.54,0.05999999999999994,10.523945331573486,0.29000000000000004,0.6,100,100,8,1,200
227,0.14170000000000002,0.028299999999999992,0.5700000000000001,0.21000000000000013,11.183029651641846,0.17,0.35999999999999993,100,100,4,1,200
228,0.37070000000000003,0.0007000000000000339,0.64,0.040000000000000036,11.380250215530396,0.37,0.6,100,100,16,1,200
229,0.4198,0.009799999999999975,0.52,0.15999999999999992,7.754171371459961,0.41000000000000003,0.6799999999999999,100,100,1,1,200
230,0.3215,0.008500000000000008,0.26,0.33999999999999997,7.784191131591797,0.33,0.6,100,100,1,1,200
231,0.022600000000000002,0.0274,0.15,0.10999999999999999,10.793518781661987,0.05,0.04,100,100,4,1,200
232,0.4611,0.011099999999999999,0.36,0.16,10.596753358840942,0.45,0.19999999999999998,100,100,8,1,200
233,0.3865,0.02350000000000002,0.58,0.06000000000000005,10.660103559494019,0.41000000000000003,0.5199999999999999,100,100,16,1,200
234,0.0709,0.019099999999999992,0.25,0.6699999999999999,10.658656120300293,0.09,0.9199999999999999,100,100,8,1,200
235,0.38280000000000003,0.027200000000000002,0.4,0.3599999999999999,10.574810266494751,0.41000000000000003,0.7599999999999999,100,100,16,1,200
236,0.1351,0.005099999999999993,0.6,0.31999999999999995,10.774524450302124,0.13,0.9199999999999999,100,100,8,1,200
237,0.21980000000000002,0.009800000000000003,0.44,0.24000000000000002,10.232563495635986,0.21000000000000002,0.19999999999999998,100,100,16,1,200
238,0.3931,0.016900000000000026,0.37,0.25,7.694854021072388,0.41000000000000003,0.12,100,100,1,1,200
239,0.0937,0.003700000000000009,0.09,0.59,10.667409420013428,0.09,0.6799999999999999,100,100,4,1,200
240,0.3557,0.01429999999999998,0.38,0.020000000000000073,10.991397857666016,0.37,0.35999999999999993,100,100,4,1,200
241,0.2485,0.0015000000000000013,0.38,0.34,9.686322212219238,0.25,0.04,100,100,1,1,200
242,0.2787,0.05130000000000001,0.58,0.38,13.105607509613037,0.33,0.19999999999999998,100,100,4,1,200
243,0.29000000000000004,0.0,0.7000000000000001,0.2600000000000002,11.144513607025146,0.29000000000000004,0.4399999999999999,100,100,16,1,200
244,0.3788,0.00880000000000003,0.99,0.95,7.243938207626343,0.37,0.04,100,100,1,1,200
